player_id,fpl_element_id,fpl_player_code,web_name,full_name,team_id,position_id,price_m,selected_by_percent,status,total_points,minutes,form,points_per_game
128,128,536916,Buonanotte,Facundo Buonanotte,5,3,5.0,0.0,u,0,0,0.0,0.0
129,129,509416,Ayari,Yasin Ayari,5,3,5.4,0.4,a,15,333,3.2,3.8
130,130,467779,Wieffer,Mats Wieffer,5,2,4.9,0.2,i,7,156,0.0,3.5
131,131,535301,Baleba,Carlos Baleba,21,3,4.9,0.1,a,0,0,0.0,0.0
132,132,597320,Howell,Harry Howell,5,3,4.5,0.0,u,0,0,0.0,0.0
133,133,549074,Watson,Tom Watson,5,3,5.0,0.0,u,0,0,0.0,0.0
134,134,556637,Oriola,Nehemiah Oriola,5,3,4.5,0.2,a,0,0,0.0,0.0
135,135,700308,Yohanna,Zadok Yohanna,5,3,4.9,0.0,i,1,12,0.0,1.0
136,136,50175,Welbeck,Danny Welbeck,8,4,5.9,1.0,a,4,85,0.8,1.3
137,137,608181,Tzimas,Stefanos Tzimas,5,4,5.4,0.0,i,0,0,0.0,0.0
138,138,647850,Kostoulas,Charalampos Kostoulas,5,4,5.6,3.5,a,28,353,6.8,5.6
139,139,487117,Ferguson,Evan Ferguson,5,4,5.0,0.0,i,0,0,0.0,0.0
140,140,215059,Sánchez,Robert Lynch Sánchez,8,1,4.9,0.7,u,2,90,0.4,2.0
141,141,508479,Jörgensen,Filip Jörgensen,8,1,5.0,0.0,u,0,0,0.0,0.0
142,142,225796,James,Reece James,8,2,5.4,5.9,d,3,292,0.6,0.8
143,143,180736,Chalobah,Trevoh Chalobah,8,2,5.5,0.1,u,0,0,0.0,0.0
144,144,482609,Gusto,Malo Gusto,8,2,4.9,1.0,a,4,272,0.8,1.0
145,145,444463,Fofana,Wesley Fofana,8,2,5.0,0.2,a,8,312,1.6,2.0
146,146,242880,B.Badiashile,Benoît Badiashile Mukinayi,8,2,4.5,0.0,u,0,0,0.0,0.0
147,147,109646,Tosin,Tosin Adarabioyo,31,2,4.4,0.1,a,1,5,0.2,1.0
148,148,551210,Hato,Jorrel Hato,8,2,4.5,0.8,a,8,258,1.6,2.0
149,149,460028,Colwill,Levi Samuels Colwill,8,2,4.8,0.9,a,3,341,0.6,0.8
150,150,574458,M.Sarr,Mamadou Sarr,8,2,4.5,0.0,u,0,0,0.0,0.0
151,151,577016,Acheampong,Josh Acheampong,8,2,4.5,0.3,a,5,221,1.0,1.2
152,152,620109,Palestra,Marco Palestra,8,2,5.3,0.6,d,0,0,0.0,0.0
153,153,220362,Disasi,Axel Disasi,10,2,4.5,0.1,s,1,139,0.2,0.3
154,154,244851,Palmer,Cole Palmer,8,3,9.7,26.1,d,28,442,5.6,5.6
155,155,448047,Enzo,Enzo Fernández,20,3,6.9,3.6,a,13,271,2.6,3.2
156,156,247632,Neto,Pedro Lomba Neto,8,3,6.5,1.4,a,14,332,2.8,2.8
157,157,624773,Estêvão,Estêvão Almeida de Oliveira Gonçalves,8,3,6.3,0.7,a,4,23,0.8,1.0
158,158,463936,Gittens,Jamie Bynoe-Gittens,8,3,5.8,0.0,a,0,0,0.0,0.0
159,159,486672,Caicedo,Moisés Caicedo Corozo,8,3,5.3,1.1,d,1,13,0.2,1.0
160,160,493105,Garnacho,Alejandro Garnacho Ferreyra,3,3,5.8,0.3,a,3,31,0.5,1.0
161,161,514356,Lavia,Roméo Lavia,8,3,5.0,0.2,a,11,258,2.2,2.8
162,162,532605,Andrey Santos,Andrey Nascimento dos Santos,21,3,4.8,0.6,a,4,82,0.5,1.3
163,163,491007,D.Essugo,Dário Luís Essugo,8,3,4.5,0.1,u,0,0,0.0,0.0
164,164,593117,Quenda,Geovany Quenda,8,3,5.3,0.0,a,2,27,0.4,1.0
165,165,475168,João Pedro,João Pedro Junqueira de Jesus,8,4,7.7,65.8,d,33,360,6.6,8.2
166,166,517052,N.Jackson,Nicolas Jackson,3,4,6.5,1.4,a,10,286,2.0,2.5
167,167,463034,Delap,Liam Delap,25,4,5.6,2.7,a,9,277,1.8,2.2
168,168,499309,Marc Guiu,Marc Guiu Paz,8,4,5.0,0.2,u,0,0,0.0,0.0
169,169,567119,Mheuka,Shumaira Mheuka,8,4,4.5,0.5,a,0,0,0.0,0.0
170,170,503037,Emegha,Emmanuel Emegha,8,4,5.0,0.1,i,0,0,0.0,0.0
171,171,484389,Dovin,Oliver Dovin,9,1,4.0,1.0,u,0,0,0.0,0.0
172,172,110690,Wilson,Ben Wilson,9,1,4.4,0.4,a,0,0,0.0,0.0
173,173,461102,Thomas,Bobby Thomas,9,2,4.0,8.6,a,24,437,5.2,4.8
174,174,436761,Kitching,Liam Kitching,9,2,4.0,0.3,u,0,0,0.0,0.0
175,175,451284,van Ewijk,Milan van Ewijk,9,2,4.0,8.9,d,6,360,1.2,1.5
176,176,173878,Dasilva,Jay Dasilva,9,2,4.0,0.7,a,20,444,4.8,4.0
177,177,465390,Kesler-Hayden,Kaine Kesler-Hayden,9,2,3.9,0.0,i,0,0,0.0,0.0
178,178,80178,Bidwell,Jake Bidwell,9,2,4.0,0.1,a,0,0,0.0,0.0
179,179,204813,Latibeaudiere,Joel Latibeaudiere,9,2,4.0,0.0,a,1,1,0.2,1.0
180,180,220583,Woolfenden,Luke Woolfenden,9,2,4.0,0.1,i,0,0,0.0,0.0
181,181,577411,Brau,Miguel Brau,9,2,4.0,0.0,u,0,0,0.0,0.0
182,182,539142,Amenda,Aurèle Amenda,9,2,4.0,0.6,i,4,360,0.8,1.0
183,183,480457,Rudoni,Jack Rudoni,9,3,4.9,0.1,a,13,297,3.0,2.6
184,184,168144,Grimes,Matt Grimes,9,3,4.9,0.1,a,11,443,2.2,2.2
185,185,501459,Sakamoto,Tatsuhiro Sakamoto,9,3,4.8,0.1,a,1,31,0.2,1.0
186,186,241293,Mason-Clark,Ephron Mason-Clark,9,3,5.3,0.1,a,5,231,1.2,1.2
187,187,439668,Eccles,Josh Eccles,9,3,4.8,0.0,i,0,0,0.0,0.0
188,188,226965,Torp,Victor Torp,9,3,5.3,0.1,a,3,53,0.5,1.0
189,189,684268,Shepherd,George Shepherd,9,3,4.4,0.3,a,0,0,0.0,0.0
190,190,469272,Tchaouna,Loum Tchaouna,9,3,5.4,0.1,a,5,211,0.8,1.2
191,191,492498,Borges Rodrigues,Raphael Borges Rodrigues,9,3,4.5,0.1,u,0,0,0.0,0.0
192,192,629397,Andrews,Kai Andrews,9,3,4.5,0.3,u,0,0,0.0,0.0
193,193,176412,Wright,Haji Wright,9,4,5.4,0.1,i,0,0,0.0,0.0
194,194,230730,Thomas-Asante,Brandon Thomas-Asante,9,4,5.0,0.8,a,9,227,1.8,1.8
195,195,218997,Simms,Ellis Simms,9,4,4.9,0.6,a,4,104,0.5,1.3
196,196,551262,Markelo,Jahnoah Markelo,9,4,5.0,0.0,u,0,0,0.0,0.0
197,197,549653,Bassette,Norman Bassette,9,4,4.5,0.0,u,0,0,0.0,0.0
198,198,172649,Henderson,Dean Henderson,10,1,5.0,1.3,i,5,270,0.8,1.7
199,199,121709,Benitez,Walter Benítez,10,1,4.5,0.1,a,8,180,2.0,4.0
200,200,437499,Lacroix,Maxence Lacroix,8,2,5.9,6.8,a,13,364,2.6,2.6
201,201,247348,Muñoz,Daniel Muñoz Mejía,25,2,5.4,5.8,a,5,257,1.2,1.2
202,202,427623,Richards,Chris Richards,10,2,5.0,0.6,a,14,450,2.8,2.8
