match_id,season_id,date_id,home_team_id,away_team_id,referee_id,kickoff_time,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,home_points,away_points,total_goals,goal_difference
173,1,20151226,8,32,4,,2,2,D,1,1,D,17,12,2,3,7,15,9,4,1,4,0,0,1,1,4,0
174,1,20151226,18,17,25,,1,0,H,0,0,D,25,7,4,3,11,8,7,6,2,1,0,0,3,0,1,1
175,1,20151226,20,29,6,,4,1,H,3,0,H,19,11,9,3,10,11,5,1,1,1,0,0,3,0,5,3
176,1,20151226,23,11,22,,0,1,A,0,0,D,10,20,1,7,16,12,1,7,2,2,0,0,0,3,1,-1
177,1,20151226,27,2,17,,4,0,H,1,0,H,15,7,5,4,10,9,3,4,1,0,0,0,3,0,4,4
178,1,20151226,28,21,19,,2,0,H,2,0,H,13,11,3,6,13,16,1,12,1,2,0,0,3,0,2,2
179,1,20151226,30,33,37,,1,0,H,1,0,H,7,9,2,3,10,13,0,7,1,3,0,0,3,0,1,1
180,1,20151226,31,24,29,,3,0,H,2,0,H,15,11,10,3,4,13,9,4,1,2,0,0,3,0,3,3
181,1,20151228,2,1,37,,2,0,H,1,0,H,13,10,6,3,7,8,9,3,2,0,0,0,3,0,2,2
182,1,20151228,10,30,32,,0,0,D,0,0,D,10,5,2,3,11,16,7,4,3,2,0,0,1,1,0,0
183,1,20151228,11,28,26,,3,4,A,1,2,A,15,8,3,5,10,12,6,2,2,1,0,0,0,3,7,-1
184,1,20151228,21,8,25,,0,0,D,0,0,D,12,8,2,3,16,6,5,3,4,2,0,0,1,1,0,0
185,1,20151228,24,3,14,,2,0,H,1,0,H,9,6,4,3,10,21,3,7,2,5,0,0,3,0,2,2
186,1,20151228,32,31,6,,1,2,A,1,1,D,9,10,1,3,11,13,5,3,4,2,1,0,0,3,3,-1
187,1,20151228,33,23,29,,1,0,H,0,0,D,22,7,5,2,7,13,18,6,0,0,0,0,3,0,1,1
188,1,20151228,34,27,30,,2,1,H,0,1,A,13,15,5,4,6,12,4,7,1,3,0,0,3,0,3,1
189,1,20151229,17,20,8,,0,0,D,0,0,D,11,21,4,5,11,8,1,13,1,3,0,0,1,1,0,0
190,1,20151230,29,18,19,,0,1,A,0,0,D,8,17,3,6,8,16,6,4,1,3,0,0,0,3,1,-1
191,1,20160102,2,23,6,,1,0,H,0,0,D,16,15,3,6,10,9,7,4,2,2,0,0,3,0,1,1
192,1,20160102,17,1,4,,0,0,D,0,0,D,16,9,2,0,9,5,7,1,1,1,0,1,1,1,0,0
193,1,20160102,21,30,17,,2,1,H,0,0,D,19,9,6,4,14,10,4,2,2,1,0,0,3,0,3,1
194,1,20160102,24,27,26,,1,0,H,0,0,D,10,10,1,4,9,7,4,9,1,0,0,1,3,0,1,1
195,1,20160102,29,3,8,,3,1,H,1,0,H,13,8,6,3,8,13,3,3,3,4,0,0,3,0,4,2
196,1,20160102,32,20,25,,1,2,A,0,0,D,11,16,3,5,6,10,4,5,1,0,0,0,0,3,3,-1
197,1,20160102,33,28,22,,2,1,H,0,0,D,16,10,5,3,7,15,4,6,1,1,0,1,3,0,3,1
198,1,20160102,34,18,39,,2,0,H,1,0,H,18,23,10,2,11,8,3,9,1,1,0,0,3,0,2,2
